Models Count,seconds(mono),seconds(serverless),attoseconds(mono),attoseconds(serverless)
Models Count,seconds(mono),seconds(serverless),attoseconds(mono),attoseconds(serverless)
1000,109,58,637140959000000000,55836791000000000
1500,165,62,810873458000000000,462273083000000000
Models Count,seconds(mono),seconds(serverless),attoseconds(mono),attoseconds(serverless)
1000,113,55,177885125000000000,342873375000000000
Models Count,seconds(mono),seconds(serverless),attoseconds(mono),attoseconds(serverless)
1000,107,58,419555916000000000,970280666000000000
Models Count,seconds(mono),seconds(serverless),attoseconds(mono),attoseconds(serverless)
Models Count,seconds(mono),seconds(serverless),attoseconds(mono),attoseconds(serverless)
